Time,RSSI
0:01,-99
0:02,-99
0:03,-93
0:04,-97
0:05,0
0:06,-92
0:07,-97
0:08,-96
0:09,-93
0:10,-97
0:11,-97
0:12,-93
0:13,-97
0:14,-96
0:15,-95
0:16,-97
0:17,-96
0:18,-100
0:19,-100
0:20,-100
0:21,-98
0:22,-102
0:23,-97
0:24,-99
0:25,-93
0:26,-95
0:27,0
0:28,0
0:29,0
0:30,0
0:31,0
0:32,0
0:33,0
0:34,0
0:35,0
0:36,0
0:37,0
0:38,0
0:39,0
0:40,0
0:41,0
0:42,0
0:43,0
0:44,0
0:45,0
0:46,0
0:47,0
0:48,0
0:49,0
0:50,0
0:51,0
0:52,0
0:53,0
0:54,0
0:55,0
0:56,0
0:57,0
0:58,0
0:59,0
1:00,0
1:01,0
1:02,0
1:03,0
1:04,0
1:05,0
1:06,0
1:07,0
1:08,0
1:09,0
1:10,0
1:11,0
1:12,0
1:13,0
1:14,0
1:15,0
1:16,0
1:17,0
1:18,0
1:19,0
1:20,0
1:21,0
1:22,0
1:23,0
1:24,0
1:25,0
1:26,0
1:27,0
1:28,0
1:29,0
1:30,0
1:31,0
1:32,0
1:33,0
1:34,0
1:35,0
1:36,0
1:37,0
1:38,0
1:39,0
1:40,0
1:41,0
1:42,0
1:43,0
1:44,0
1:45,0
1:46,0
1:47,0
1:48,0
1:49,0
1:50,0
1:51,0
1:52,0
1:53,0
1:54,0
1:55,0
1:56,0
1:57,0
1:58,0
1:59,0
2:00,0
2:01,0
2:02,0
2:03,0
2:04,0
2:05,0
2:06,0
2:07,0
2:08,0
2:09,0
2:10,0
2:11,0
2:12,0
2:13,0
2:14,0
2:15,0
2:16,0
2:17,0
2:18,0
2:19,0
2:20,0
2:21,0
2:22,0
2:23,0
2:24,0
2:25,0
2:26,0
2:27,0
2:28,0
2:29,0
2:30,0
2:31,0
2:32,0
2:33,0
2:34,0
2:35,0
2:36,0
2:37,0
2:38,0
2:39,0
2:40,0
2:41,0
2:42,0
2:43,0
2:44,0
2:45,0
2:46,0
2:47,0
2:48,0
2:49,0
2:50,0
2:51,0
2:52,0
2:53,0
2:54,0
2:55,0
2:56,0
2:57,0
2:58,0
2:59,0
3:00,0
3:01,0
3:02,0
3:03,0
3:04,0
3:05,0
3:06,0
3:07,0
3:08,0
3:09,0
3:10,0
3:11,0
3:12,0
3:13,0
3:14,0
3:15,0
3:16,0
3:17,0
3:18,0
3:19,0
3:20,0
3:21,0
3:22,0
3:23,0
3:24,0
3:25,0
3:26,0
3:27,0
3:28,0
3:29,0
3:30,0
3:31,0
3:32,0
3:33,0
3:34,0
3:35,0
3:36,0
3:37,0
3:38,0
3:39,0
3:40,0
3:41,0
3:42,0
3:43,0
3:44,0
3:45,0
3:46,0
3:47,-95
3:48,-100
3:49,-99
3:50,-96
3:51,-101
3:52,-99
3:53,-99
3:54,-99
3:55,-93
3:56,-93
3:57,-93
3:58,-91
3:59,-90
4:00,-92
4:01,-95
4:02,-97
4:03,-94
4:04,-93
4:05,-93
4:06,-88
4:07,-95
4:08,-90
4:09,-90
4:10,-89
4:11,-89
4:12,-90
4:13,-86
4:14,-86
4:15,-80
4:16,-80
4:17,-80
4:18,-80
4:19,-83
4:20,-82
4:21,-82
4:22,-82
4:23,-82
4:24,-83
4:25,-82
4:26,-79
4:27,-79
4:28,-72
4:29,-71
4:30,-71
4:31,-71
4:32,-72
4:33,-69
4:34,-65
4:35,-62
4:36,-64
4:37,-67
4:38,-71
4:39,-71
4:40,-75
4:41,-81
4:42,-83
4:43,-87
4:44,-95
4:45,-100
4:46,-97
4:47,-98
4:48,-100
4:49,-97
4:50,-99
4:51,-99
4:52,-99
4:53,-101
4:54,-100
4:55,0
4:56,0
4:57,0
4:58,0
4:59,0
5:00,0
5:01,0
5:02,0
5:03,0
5:04,0
5:05,0
5:06,0
5:07,0
5:08,0
5:09,0
5:10,0
5:11,0
5:12,0
5:13,0
5:14,0
5:15,0
5:16,0
5:17,0
5:18,0
5:19,0
5:20,0
5:21,0
5:22,0
5:23,0
5:24,0
5:25,0
5:26,0
5:27,0
5:28,0
5:29,0
5:30,0
