Time,RSSI
0:01,0
0:02,0
0:03,0
0:04,0
0:05,0
0:06,0
0:07,0
0:08,0
0:09,0
0:10,0
0:11,0
0:12,0
0:13,0
0:14,0
0:15,0
0:16,0
0:17,0
0:18,0
0:19,0
0:20,0
0:21,0
0:22,0
0:23,0
0:24,0
0:25,0
0:26,0
0:27,0
0:28,0
0:29,0
0:30,0
0:31,0
0:32,0
0:33,0
0:34,0
0:35,0
0:36,0
0:37,0
0:38,0
0:39,0
0:40,0
0:41,0
0:42,0
0:43,0
0:44,0
0:45,0
0:46,0
0:47,0
0:48,0
0:49,0
0:50,0
0:51,0
0:52,0
0:53,0
0:54,0
0:55,0
0:56,0
0:57,0
0:58,0
0:59,0
1:00,0
1:01,0
1:02,0
1:03,0
1:04,0
1:05,0
1:06,0
1:07,0
1:08,0
1:09,0
1:10,0
1:11,0
1:12,0
1:13,0
1:14,0
1:15,0
1:16,0
1:17,0
1:18,0
1:19,0
1:20,0
1:21,0
1:22,0
1:23,0
1:24,0
1:25,0
1:26,0
1:27,0
1:28,0
1:29,0
1:30,0
1:31,0
1:32,0
1:33,0
1:34,0
1:35,0
1:36,0
1:37,0
1:38,0
1:39,0
1:40,0
1:41,0
1:42,0
1:43,0
1:44,0
1:45,0
1:46,0
1:47,0
1:48,0
1:49,0
1:50,0
1:51,0
1:52,0
1:53,-94
1:54,-87
1:55,-94
1:56,-85
1:57,-88
1:58,-85
1:59,-88
2:00,-94
2:01,-87
2:02,-94
2:03,-89
2:04,-89
2:05,-87
2:06,-88
2:07,-88
2:08,-90
2:09,-95
2:10,-89
2:11,-89
2:12,-87
2:13,-85
2:14,-79
2:15,-79
2:16,-80
2:17,-78
2:18,-75
2:19,-81
2:20,-75
2:21,-71
2:22,-74
2:23,-73
2:24,-74
2:25,-76
2:26,-72
2:27,-71
2:28,-66
2:29,-68
2:30,-68
2:31,-68
2:32,-68
2:33,-70
2:34,-77
2:35,-89
2:36,-89
2:37,-87
2:38,-88
2:39,-88
2:40,-90
2:41,-95
2:42,-95
2:43,-90
2:44,-93
2:45,-86
2:46,-85
2:47,-92
2:48,-85
2:49,-93
2:50,-98
2:51,-90
2:52,-94
2:53,-90
2:54,-95
2:55,-95
2:56,-90
2:57,-93
2:58,-92
2:59,-93
3:00,-93
3:01,-94
3:02,-93
3:03,-93
3:04,0
3:05,0
3:06,0
3:07,0
3:08,0
3:09,0
3:10,0
3:11,0
3:12,0
3:13,0
3:14,0
3:15,0
3:16,0
3:17,0
3:18,0
3:19,0
3:20,0
3:21,0
3:22,0
3:23,0
3:24,0
3:25,0
3:26,0
3:27,0
3:28,0
3:29,0
3:30,0
3:31,0
3:32,0
3:33,0
3:34,0
3:35,0
3:36,0
3:37,0
3:38,0
3:39,0
3:40,0
3:41,0
3:42,0
3:43,0
3:44,0
3:45,0
3:46,0
3:47,0
3:48,0
3:49,0
3:50,0
3:51,0
3:52,0
3:53,0
3:54,0
3:55,0
3:56,0
3:57,0
3:58,0
3:59,0
4:00,0
4:01,0
4:02,0
4:03,0
4:04,0
4:05,0
4:06,0
4:07,0
4:08,0
4:09,0
4:10,0
4:11,0
4:12,0
4:13,0
4:14,0
4:15,0
4:16,0
4:17,0
4:18,0
4:19,0
4:20,0
4:21,0
4:22,0
4:23,0
4:24,0
4:25,-96
4:26,-96
4:27,-96
4:28,-96
4:29,-93
4:30,-94
4:31,-91
4:32,-89
4:33,-94
4:34,-94
4:35,-89
4:36,-89
4:37,-89
4:38,-91
4:39,-94
4:40,-92
4:41,-88
4:42,-93
4:43,-94
4:44,-95
4:45,-98
4:46,-94
4:47,-94
4:48,-93
4:49,-90
4:50,-94
4:51,-92
4:52,-94
4:53,-92
4:54,-91
4:55,-90
4:56,-89
4:57,-88
4:58,-90
4:59,-89
5:00,-89
5:01,-89
5:02,-88
5:03,-88
5:04,-84
5:05,-84
5:06,-80
5:07,-77
5:08,-79
5:09,-77
5:10,-82
5:11,-79
5:12,-75
5:13,-75
5:14,-77
5:15,-68
5:16,-68
5:17,-61
5:18,-61
5:19,-61
5:20,-61
5:21,-69
5:22,-67
5:23,-72
5:24,-72
5:25,-75
5:26,-75
5:27,-77
5:28,-68
5:29,-68
5:30,-68
