Time RSSI
0:01 -95
0:02 -93
0:03 -93
0:04 -94
0:05 -89
0:06 -87
0:07 -97
0:08 0
0:09 -93
0:10 -95
0:11 -94
0:12 -95
0:13 -94
0:14 -99
0:15 -98
0:16 0
0:17 0
0:18 -94
0:19 -90
0:20 -88
0:21 -91
0:22 0
0:23 -91
0:24 -98
0:25 -92
0:26 -91
0:27 -95
0:28 -99
0:29 -97
0:30 -93
0:31 -89
0:32 0
0:33 0
0:34 0
0:35 0
0:36 0
0:37 -90
0:38 0
0:39 0
0:40 -85
0:41 -85
0:42 -83
0:43 0
0:44 0
0:45 0
0:46 0
0:47 0
0:48 0
0:49 0
0:50 0
0:51 0
0:52 -84
0:53 -81
0:54 0
0:55 0
0:56 -87
0:57 -87
0:58 0
0:59 -84
1:00 0
1:01 0
1:02 0
1:03 0
1:04 -84
1:05 0
1:06 0
1:07 0
1:08 -90
1:09 0
1:10 0
1:11 0
1:12 -83
1:13 0
1:14 0
1:15 0
1:16 0
1:17 0
1:18 0
1:19 0
1:20 0
1:21 0
1:22 0
1:23 0
1:24 0
1:25 0
1:26 -83
1:27 -86
1:28 0
1:29 0
1:30 0
1:31 0
1:32 0
1:33 0
1:34 0
1:35 -70
1:36 0
1:37 -76
1:38 0
1:39 0
1:40 0
1:41 -75
1:42 0
1:43 0
1:44 0
1:45 -70
1:46 -69
1:47 0
1:48 -76
1:49 -68
1:50 -67
1:51 -81
1:52 0
1:53 -85
1:54 -86
1:55 -87
1:56 -87
1:57 0
1:58 0
1:59 -93
2:00 -88
2:01 -95
2:02 -89
2:03 -89
2:04 -83
2:05 -91
2:06 -90
2:07 -91
2:08 -89
2:09 -94
2:10 -88
2:11 -89
2:12 -94
2:13 -96
2:14 -97
2:15 -96
2:16 0
2:17 -93
2:18 -93
2:19 -99
2:20 -96
2:21 -95
2:22 -93
2:23 -90
2:24 -97
2:25 -95
2:26 -98
2:27 -93
2:28 -94
2:29 -95
2:30 -95
2:31 -95
2:32 0
2:33 -94
2:34 0
2:35 0
2:36 0
2:37 0
2:38 0
2:39 0
2:40 0
2:41 0
2:42 0
2:43 0
2:44 0
2:45 0
2:46 0
2:47 -92
2:48 0
2:49 0
2:50 0
2:51 0
2:52 0
2:53 0
2:54 0
2:55 0
2:56 -94
2:45 -100
2:46 0
2:47 -94
2:48 -89
2:49 -94
2:50 -98
2:51 -93
2:52 -92
2:53 -95
2:54 -97
2:55 -99
2:56 -95
2:57 -96
2:58 -92
2:59 -93
3:00 -92
3:01 -94
3:02 -93
3:03 -94
3:04 -88
3:05 -86
3:06 0
3:07 -95
3:08 -92
3:09 -94
3:10 -90
3:11 -93
3:12 -91
3:13 -84
3:14 -93
3:15 -91
3:16 -85
3:17 -91
3:18 0
3:19 0
3:20 -96
3:21 -95
3:22 0
3:23 0
3:24 0
3:25 0
3:26 -93
3:27 0
3:28 0
3:29 0
3:30 0
3:31 -85
3:32 0
3:33 0
3:34 0
3:35 0
3:36 0
3:37 0
3:38 -91
3:39 0
3:40 0
3:41 -88
3:42 0
3:43 0
3:44 0
3:45 -94
3:46 0
3:47 0
3:48 0
3:49 -93
3:50 -92
3:51 -94
3:52 -91
3:53 0
3:54 -94
3:55 -97
3:16 -91
3:17 -94
3:18 0
3:19 0
3:20 0
3:21 0
3:22 0
3:23 0
3:24 0
3:25 0
3:26 0
3:27 0
3:28 0
3:29 0
3:30 0
3:31 0
3:32 0
3:33 0
3:34 0
3:35 0
3:36 0
3:37 0
3:38 0
3:39 0
3:40 0
3:41 0
3:42 0
3:43 0
3:44 0
3:45 -93
3:46 -91
