Time RSSI
0:01 -89
0:02 -89
0:03 -94
0:04 -89
0:05 -89
0:06 -92
0:07 -88
0:08 -89
0:09 -86
0:10 -93
0:11 -83
0:12 -83
0:13 -82
0:14 -83
0:15 -85
0:16 -88
0:17 -84
0:18 -85
0:19 -80
0:20 -90
0:21 -86
0:22 -75
0:23 -76
0:24 0
0:25 -73
0:26 -88
0:27 -70
0:28 -76
0:29 -66
0:30 -66
0:31 -63
0:32 -78
0:33 -90
0:34 -84
0:35 0
0:36 0
0:37 0
0:38 -92
0:39 -88
0:40 0
0:41 0
0:42 -93
0:43 0
0:44 0
0:45 0
0:46 0
0:47 0
0:48 0
0:49 0
0:50 0
0:51 -94
0:52 0
0:53 -97
0:54 0
0:55 -94
0:56 0
0:57 0
0:58 0
0:59 0
1:00 -94
1:01 0
1:02 0
1:03 0
1:04 0
1:05 0
1:06 0
1:07 0
1:08 0
1:09 0
1:10 0
1:11 0
1:12 0
1:13 0
1:14 0
1:15 0
1:16 0
1:17 0
1:18 0
1:19 0
1:20 0
1:21 0
1:22 0
1:23 0
1:24 0
1:25 0
1:26 0
1:27 0
1:28 0
1:29 0
1:30 0
1:31 0
1:32 0
1:33 0
1:34 0
1:35 0
1:36 0
1:37 0
1:38 -92
1:39 0
1:40 0
1:41 -93
1:42 0
1:43 0
1:44 0
1:45 0
1:46 -86
1:47 -87
1:48 -88
