Time RSSI
0:01 -99
0:02 -99
0:03 -93
0:04 -97
0:05 0
0:06 -92
0:07 -97
0:08 -96
0:09 -93
0:10 -97
0:11 -97
0:12 0
0:13 0
0:14 0
0:15 0
0:16 0
0:17 0
0:18 0
0:19 0
0:20 -94
0:21 -98
0:22 -102
0:23 -97
0:24 -99
0:25 -93
0:26 -95
0:27 0
0:28 0
0:29 0
0:30 0
0:31 0
0:32 -98
0:33 0
0:34 0
0:35 0
0:36 -94
0:37 -92
0:38 0
0:39 0
0:40 -87
0:41 -89
0:42 -89
0:43 0
0:44 0
0:45 0
0:46 -91
0:47 0
0:48 0
0:49 0
0:50 0
0:51 -87
0:52 0
0:53 0
0:54 0
0:55 -86
0:56 0
0:57 0
0:58 0
0:59 0
1:00 0
1:01 0
1:02 0
1:03 0
1:04 0
1:05 0
1:06 0
1:07 0
1:08 -91
1:09 0
1:10 0
1:11 0
1:12 0
1:13 0
1:14 -97
1:15 0
1:16 0
1:17 0
1:18 0
1:19 0
1:20 0
1:21 -90
1:22 0
1:23 0
1:24 0
1:25 0
1:26 0
1:27 0
1:28 0
1:29 0
1:30 0
1:31 0
1:32 0
1:33 0
1:34 0
1:35 0
1:36 0
1:37 0
1:38 0
1:39 0
1:40 0
1:41 0
1:42 0
1:43 0
1:44 0
1:45 0
1:46 0
1:47 0
1:48 0
1:49 0
1:50 0
1:51 0
1:52 0
1:53 -96
1:54 -98
1:55 0
1:56 0
1:57 0
1:58 0
1:59 0
2:00 0
2:01 0
2:02 -96
2:03 -101
2:04 -98
2:05 0
2:06 0
2:07 -98
2:08 0
2:09 0
2:10 0
2:11 0
2:12 0
2:13 0
2:14 0
2:15 0
2:16 0
2:17 0
2:18 0
2:19 -98
2:20 0
2:21 -99
2:22 0
2:23 0
2:24 0
2:25 0
2:26 0
2:27 0
2:28 0
2:29 0
2:30 0
2:31 0
2:32 0
2:33 0
2:34 0
2:35 0
2:36 0
2:37 0
2:38 0
2:39 0
2:40 0
2:41 0
2:42 0
2:43 0
2:44 0
2:45 0
2:46 0
2:47 0
2:48 0
2:49 -97
2:50 0
2:51 0
2:52 0
2:53 0
2:54 0
2:55 -98
2:56 0
2:57 0
2:58 0
2:59 0
3:00 0
3:01 0
3:02 0
3:03 0
3:04 -92
3:05 0
3:06 0
3:07 0
3:08 0
3:09 0
3:10 0
3:11 -97
3:12 0
3:13 0
3:14 0
3:15 0
3:16 0
3:17 0
3:18 0
3:19 0
3:20 0
3:21 0
3:22 0
3:23 0
3:24 0
3:25 0
3:26 0
3:27 0
3:28 0
3:29 0
3:30 0
3:31 0
3:32 0
3:33 0
3:34 0
3:35 0
3:36 0
3:37 0
3:38 0
3:39 0
3:40 0
3:41 0
3:42 0
3:43 0
3:44 0
3:45 -98
3:46 0
3:47 -95
3:48 -100
3:49 -99
3:50 -96
3:51 -101
3:52 -99
3:53 0
3:54 0
3:55 -93
3:56 0
3:57 -93
3:58 -91
3:59 -90
4:00 -92
4:01 -95
4:02 -97
4:03 -94
4:04 -93
4:05 -93
4:06 -88
4:07 -95
4:08 -90
4:09 -90
4:10 -89
4:11 -89
4:12 -90
4:13 -86
4:14 -86
4:15 0
4:16 -80
4:17 0
4:18 0
4:19 -83
4:20 -82
4:21 0
4:22 -94
4:23 0
4:24 0
4:25 -82
4:26 0
4:27 0
4:28 0
4:29 0
4:30 0
4:31 0
4:32 -72
4:33 -79
4:34 0
4:35 0
4:36 0
4:37 -71
4:38 0
4:39 0
4:40 0
4:41 0
4:42 0
4:43 0
4:44 -95
4:44 -100
4:45 -97
